             1             2             3
             4             3             5
             4             1             3
             4             5             6
             6             5             7
             8             7             9
             8             6             7
             8             9            10
             1            11             2
             1             4            12
            13            11             1
            13             1            12
             4             6            14
            12             4            14
            14             6            15
            15             6             8
            15             8            16
            16             8            10
            12            17            13
            12            14            18
            17            12            18
            14            15            19
            18            14            19
            15            16            60
            20            21            22
            20            22            23
            23            22            24
            23            24            25
            25            24            26
            25            26            27
            27            26            28
            27            28            29
            29            28            75
             9            29            30
            34            30            32
            31            30            34
            33            31            34
            33            34            35
            36            37            38
            20            38            21
            39            36            38
            39            38            20
             2            39            20
            23             2            20
             3             2            23
             3            23            25
             5             3            25
             5            25            27
             7             5            27
             7            27            29
             9             7            29
            31             9            30
            10             9            31
            10            31            33
            40            33            41
            40            10            33
            41            35            42
            43            41            42
            41            33            35
            51            42            44
            37            45            46
            37            36            45
            45            36            47
            47            36            39
            39            11            47
            47            11            48
            39             2            11
            11            13            48
            16            10            40
            49            16            40
            40            41            50
            49            40            50
            52            43            51
            52            50            43
            50            41            43
            43            42            51
            45            53            46
            45            47            54
            53            45            54
            56            48            55
            56            54            48
            54            47            48
            55            17            57
            55            13            17
            48            13            55
            57            18            58
            57            17            18
            58            19            59
            58            18            19
            19            15            60
            60            16            49
            59            19            60
            49            50            61
            62            49            61
            60            49            62
            50            52            61
            55            63            56
            55            57            64
            63            55            64
            57            58            65
            64            57            65
            58            59            66
            65            58            66
            59            60            62
            66            59            67
            59            62            67
            68            69            70
            71            70            72
            71            68            70
            73            72            74
            73            71            72
            73            74            76
            75            28            76
            75            76            77
            78            89            80
            21            78            80
            81            21            80
            22            21            81
            68            81            69
            68            22            81
            24            22            68
            24            68            71
            26            24            71
            26            71            73
            28            26            73
            28            73            76
            30            29            75
            30            75            32
            32            75            77
            32            77            82
            34            32            83
            83            32            82
            35            83            84
            85            42            84
            35            34            83
            85            84           121
            87            88            89
            78            87            89
            79            80            89
            78            38            37
            87            78            37
            38            78            21
            35            84            42
            44            85            86
            90            44            86
            44            42            85
            87            91            88
            46            92            91
            87            46            91
            37            46            87
            52            51            93
            94            44            90
            94            51            44
            93            51            94
            92            53            95
            92            46            53
            53            54            96
            97            95            96
            95            53            96
            54            56            96
            62            61            98
            99            52            93
            99            61            52
            98            61            99
            99            93           100
            93            94           100
            96           101            97
           101            63           102
           101            56            63
            96            56           101
           102            64           103
           102            63            64
            64            65           103
           103            65           104
            65            66           104
           104            66           105
           105            66           106
           106            66            67
            67            62            98
           107           106            67
           107            67            98
            98            99           130
            69            70           108
            70           109           108
           110           109            70
            72           110            70
            72            74           110
            74           111           110
            76            74           112
           112           111            74
            77           113           112
            77            76           112
            79           115           114
           116           115            79
            81            80           116
           116            80            79
            81           116            69
           108           144           116
            69           108           116
           108           109           117
            82           118           113
            82           113            77
            82           119           118
            83            82           119
           121           120           119
           121            84           119
            84            83           119
            85            86           121
            88           122            89
            79           114           122
           114           123           122
            79           122            89
           121           124           120
           124           121            86
           124            86           125
           125            86            90
            88           126            91
            91           126            92
           123           126            88
           122           123            88
           127           125            90
           127            90            94
            92           128            95
           126           128            92
            95           129            97
           128           129            95
           130           132           131
           130           133           100
           130            99           100
           130           131           133
           100           127            94
           133           127           100
            97           134           101
           165           134            97
           101           134           102
           134           135           102
           102           136           103
           135           136           102
           103           137           104
           136           137           103
           104           137           105
           137           138           105
           105           139           106
           138           139           105
           106           139           107
           132           130           107
           139           132           107
           107            98           130
           109           110           140
           111           141           140
           111           140           110
           111           142           141
           112           142           111
           112           113           142
           114           115           143
           115           144           143
           116           144           115
           117           145           144
           178           145           117
           117           144           108
           117           109           146
           140           147           146
           109           140           146
           141           148           147
           141           147           140
           142           149           141
           149           148           141
           150           149           142
           150           142           113
           118           150           113
           152           151           150
           152           150           118
           120           152           118
           119           120           118
           123           114           153
           114           143           153
           155           154           153
           155           153           143
           145           155           143
           144           145           143
           152           156           151
           120           158           152
           158           156           152
           124           158           120
           157           158           124
           124           125           157
           126           123           159
           123           153           159
           153           154           159
           154           160           159
           161           189           162
           161           162           164
           158           157           162
           162           157           164
           164           157           125
           164           125           127
           126           159           128
           128           160           129
           160           165           129
           159           160           128
           160           166           165
           166           168           167
           166           167           165
           168           170           167
           170           169           167
           169           170           171
           172           174           173
           172           176           175
           173           176           172
           163           161           131
           163           131           175
           175           131           132
           176           163           175
           161           133           131
           164           133           161
           133           164           127
           129           165            97
           134           167           135
           165           167           134
           135           169           136
           167           169           135
           136           177           137
           171           177           169
           169           177           136
           174           172           138
           174           138           177
           177           138           137
           172           175           139
           172           139           138
           139           175           132
           117           146           178
           146           179           178
           147           179           146
           147           180           179
           148           180           147
           148           181           180
           149           181           148
           149           182           181
           151           182           149
           150           151           149
           154           155           190
           178           184           183
           178           183           145
           145           183           155
           179           185           184
           179           184           178
           179           180           185
           180           186           185
           180           181           186
           181           187           186
           182           188           187
           182           187           181
           156           188           151
           189           188           156
           188           182           151
           156           162           189
           155           183           190
           154           166           160
           183           184           190
           184           191           190
           184           185           191
           185           192           191
           185           193           192
           186           193           185
           186           194           193
           187           194           186
           187           195           194
           188           195           187
           163           189           161
           195           189           176
           195           188           189
           162           156           158
           154           190           166
           190           191           168
           190           168           166
           191           192           170
           191           170           168
           192           196           171
           193           196           192
           192           171           170
           193           194           196
           194           173           196
           196           173           174
           173           195           176
           194           195           173
           176           189           163
           171           174           177
           171           196           174
